;Cuve;N° Lot;Volume nominal;Volume en cuve;Appelation;Observation;Date;Opération;Volume operation;Destination / Provenance;D°;AV;SO2L;AT;SO2T;SO2Act;FT;IC;Proteine;Malo;Couleur;Stabilité Tartrique;;
*;121;0;50;0;;;2014-01-24;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;122;12/0545;10;5;AOP CDR Rouge;;2014-01-24;Entrée;5;C104;12.3;0.46;0;0;0;0;0;0;0;0;0;0;;
*;123;06/0477;60;37;Bio AOP CDR Rosé;;2013-12-23;Analyse;;;12.7;0.23;;0;;;FT;0;0;0;2;0;;Entrée
*;124;06/0503;60;46;AOP CDR Blanc;;2013-12-23;Analyse;;;12.8;0.21;11+20;0;173;0;0;0;0;0;3;0;;Entrée
*;125;12/0826;50;33;Merlot OC Rouge;;2014-01-20;Entrée;3;C131;12.5;0.24;0;0;0;0;0;0;0;0;0;0;;
*;126;0;30;0;Syrah OC Rosé;Vinif 13 27hl attente agrement;2014-01-24;Entrée;0;VINIF13 C121;0;0;0;0;0;0;0;0;0;0;0;0;;
*;127;0;30;0;Bio Merlot OC Rouge;vinif 13 27hl;2013-12-23;Analyse;;;11.6;0.4;0;0;0;0;0;0;0;0;3;0;;
*;128;12/0756;30;21;VDF Rouge;magni;2013-12-23;Analyse;;;13.4;0.5;0;0;0;0;0;0;0;0;1;0;;
*;129;;15;0;;;2014-01-09;Nettoyage;;;10.7;0.46;0;0;0;0;0;0;0;0;0;0;;
*;130;0;15;0;Merlot OC Rouge;vinif13  8hl;2014-01-08;Entrée;0;vinif 2013;0;0;0;0;0;0;0;0;0;0;0;0;;
*;131;;15;7;VDF Rosé;;2014-01-20;Entrée;7;c12;0;0;0;0;0;0;0;0;0;0;0;0;;
*;132;12/0962;15;15;Chardonnay VDF Blanc;;2014-01-20;Analyse;;;12.2;0.31;0;0;0;0;0;0;0;0;0;0;;
*;133;06/0500;10;4.4;MCR;;2013-10-23;Entrée;4.4;c127;0;0;0;0;0;0;0;0;0;0;0;0;;Analyse
*;134;06/0500;25;20;MCR;;2013-11-03;Entrée;20;preau;0;0;0;0;0;0;0;0;0;0;0;0;;
*;;;;;;;;;;;;;;;;;;;;;;;;
;;;;26831.17;;;;;;;;;;;;;;;;;;;;
