;Cuve;N° Lot;Volume nominal;Volume en cuve;Appelation;Observation;Date;Opération;Volume operation;Destination / Provenance;D°;AV;SO2L;AT;SO2T;SO2Act;FT;IC;Proteine;Malo;Couleur;Stabilité Tartrique;;
*;110;12/1043;200;149.61;AOP CDR Blanc;;2014-03-12;Entrée;149.61;c39;13.2;0.35;0;0;0;0;0;0;0;0;0;0;;
*;111;12/0957;150;85.61;Chardonnay OC Blanc;;2014-03-20;Analyse;;;12.7;0.34;0;0;0;0;FT;0;stable;0;0;0;;
*;112;12/0969;144;145;Bio Cabernet OC Rouge;;2014-03-19;Analyse;;;12.9;0.45;0;0;0;0;0;0;0;0;0;0;;
*;113;12/0973;150;150;Chardonnay OC Blanc;;2014-03-20;Analyse;;;12.54;0.32;0;0;0;0;FT;;stable;;0;;;
*;114;12/0915;150;52.4;VDF Rosé;;2014-03-18;Retiraison;38.4;c44;11.94;0.2;0;0;0;0;0;ft;0;0;0;0;;
*;115;12/0970;250;181;Bio Syrah OC Rosé;;2014-03-18;Analyse;;;12.62;0.21;0;0;0;0;0;0;0;0;0;0;;
*;116;12/0954;50;0;;;2014-03-19;Retiraison;39.2;c121;12.03;0.45;0;0;0;0;0;0;0;0;0;0;;
*;117;12/0960;100;69;VDF Rouge;AOP VENTOUX;2014-03-20;Analyse;;;13.83;0.47;0;0;0;0;0;0;0;0;0;0;;
*;118;12/0962;100;97;Chardonnay VDF Blanc;;2014-02-25;Entrée;15;C132;12.6;0.17;0;0;0;0;0;0;0;0;0;0;;
*;119;0;50;0;;RETENTAT;2013-09-25;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;3;0;;
*;120;0;15;8;Bio Chardonnay OC Blanc;;2014-03-19;Analyse;;;14.3;0.36;0;0;0;0;0;0;0;0;0;0;;
*;121;12/0954;50;39.2;Cinsault OC Rosé;;2014-03-19;Entrée;39.2;c116;11.95;0.16;0;0;0;0;FT;0;0;0;0;0;;
*;122;0;10;0;;;2014-02-12;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;123;06/0477;60;37;Bio AOP CDR Rosé;;2013-12-23;Analyse;;;12.7;0.23;;0;;;FT;0;0;0;2;0;;Entrée
*;124;12/1022;60;0;;;2014-03-19;Retiraison;50.91;grands chais;12.8;0.21;11+20;0;173;0;0;0;0;0;3;0;;Centrifugation
*;125;12/0681;50;50;Portes Med Rosé;;2014-02-26;Analyse;;;11.32;0.26;0;0;0;0;FT;0;STABLE ;0;0;0;;
*;126;12/1052;30;0;;;2014-03-20;Retiraison;20;goichot;0;0;0;0;0;0;0;0;0;0;0;0;;
*;127;12/1022;30;0;;;2014-03-19;Retiraison;14.91;mayetoise;12.6;0.3;0;0;0;0;ft;0;0;0;3;0;;
*;128;12/0972;30;30;Bio Chardonnay OC Blanc;;2014-02-19;Analyse;;;14.18;0.31;0;0;0;0;0;0;0;0;1;0;;
